name
menuToday
menuWork
menuRisk
menuAction
menuIssue
menuReview
menuFollowup
menuImputation
menuPlanning
menuTool
menuParameter
menuEnvironmentalParameter
menuClient
menuProject
menuUser
menuGlobalParameter
menuProjectParameter
menuUserParameter
menuHabilitation
menuTicket
menuActivity
menuMilestone
menuStatus
menuListOfValues
menuHabilitationParameter
menuSeverity
menuLikelihood
menuCriticality
menuPriority
menuUrgency
menuRiskManagementPlan
menuResource
menuRiskType
menuIssueType
menuAccessProfile
menuAccessRight
menuProfile
menuAffectation
menuMessage
menuMessageType
menuTicketType
menuActivityType
menuMilestoneType
menuTeam
menuImportData
menuWorkflow
menuActionType
menuReports
menuMeeting
menuDecision
menuQuestion
menuMeetingType
menuDecisionType
menuQuestionType
menuStatusMail
menuMail
menuHabilitationReport
menuHabilitationOther
menuContact
menuRole
menuFinancial
menuIndividualExpense
menuProjectExpense
menuPayment
menuType
menuIndividualExpenseType
menuProjectExpenseType
menuInvoiceType
menuPaymentType
menuExpenseDetailType
menuCalendar
menuProduct
menuProductVersion
menuAutomation
menuTicketDelay
menuIndicatorDefinition
menuAlert
menuAdmin
menuProjectType
menuActivityPrice
menuRecipient
menuTerm
menuBill
menuBillType
menuDocumentType
menuDocument
menuDocumentDirectory
menuContext
menuContextType
menuResourcePlanning
menuRequirementType
menuTestCaseType
menuTestSessionType
menuRequirementTest
menuRequirement
menuTestCase
menuTestSession
menuRiskLevel
menuFeasibility
menuPredefinedNote
menuEfficiency
menuTicketSimple
menuOpportunity
menuOpportunityType
menuHealth
menuAudit
menuPortfolioPlanning
menuPeriodicMeeting
menuCommand
menuCommandType
menuOverallProgress
menuQuality
menuTrend
menuChecklistDefinition
menuQuotation
menuQuotationType
menuDiary
menuClientType
menuAccessRightNoProject
menuPluginManagement
menuPaymentDelay
menuPaymentMode
menuDeliveryMode
menuMeasureUnit
menuComponent
menuComponentVersion
menuPlugin
menuProductType
menuComponentType
menuGallery
menuProviderType
menuProvider
menuResolution
menuDashboardTicket
menuExpenses
menuIncomes
menuCallForTender
menuTender
menuCallForTenderType
menuTenderType
menuTenderStatus
menuOrganization
menuOrganizationType
menuProductVersionType
menuComponentVersionType
menuJoblistDefinition
menuDeliverableWeight
menuDeliverableStatus
menuDeliverableType
menuIncomingType
menuDeliverable
menuIncoming
menuKpiDefinition
menuCategory
menuIncomingWeight
menuIncomingStatus
menuConfiguration
menuCatalog
menuCatalogType
menuDelivery
menuActivityStream
menuLanguage
menuVersionsPlanning
menuStatusMailPerProject
menuIndicatorDefinitionPerProject
menuTicketDelayPerProject
menuDeliveryType
menuEmailTemplate
menuNotification
menuNotificationDefinition
menuMailToSend
